Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2010-01-03,67,63
2010-01-10,72,63
2010-01-17,72,68
2010-01-24,73,69
2010-01-31,76,73
2010-02-07,67,57
2010-02-14,56,69
2010-02-21,70,65
2010-02-28,67,55
2010-03-07,70,57
2010-03-14,65,59
2010-03-21,62,54
2010-03-28,41,60
2010-04-04,57,62
2010-04-11,75,62
2010-04-18,86,57
2010-04-25,74,57
2010-05-02,84,55
2010-05-09,78,57
2010-05-16,97,56
2010-05-23,100,62
2010-05-30,84,53
2010-06-06,69,51
2010-06-13,50,53
2010-06-20,42,53
2010-06-27,44,63
2010-07-04,45,49
2010-07-11,36,51
2010-07-18,37,54
2010-07-25,47,47
2010-08-01,38,52
2010-08-08,35,57
2010-08-15,37,57
2010-08-22,36,65
2010-08-29,31,56
2010-09-05,37,55
2010-09-12,50,65
2010-09-19,55,56
2010-09-26,54,54
2010-10-03,49,59
2010-10-10,60,52
2010-10-17,49,51
2010-10-24,56,43
2010-10-31,62,44
2010-11-07,59,46
2010-11-14,68,44
2010-11-21,61,50
2010-11-28,59,42
2010-12-05,56,52
2010-12-12,50,37
2010-12-19,32,33
2010-12-26,28,51
