Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2014-01-05,84,14
2014-01-12,80,8
2014-01-19,77,13
2014-01-26,81,13
2014-02-02,71,15
2014-02-09,79,14
2014-02-16,71,11
2014-02-23,73,10
2014-03-02,69,13
2014-03-09,72,10
2014-03-16,79,10
2014-03-23,85,14
2014-03-30,76,12
2014-04-06,60,7
2014-04-13,59,9
2014-04-20,67,9
2014-04-27,66,11
2014-05-04,77,12
2014-05-11,86,12
2014-05-18,99,14
2014-05-25,100,13
2014-06-01,94,12
2014-06-08,88,10
2014-06-15,83,9
2014-06-22,79,9
2014-06-29,67,10
2014-07-06,68,11
2014-07-13,60,9
2014-07-20,51,9
2014-07-27,49,4
2014-08-03,47,12
2014-08-10,43,7
2014-08-17,51,10
2014-08-24,46,12
2014-08-31,62,8
2014-09-07,54,9
2014-09-14,67,9
2014-09-21,65,9
2014-09-28,69,11
2014-10-05,78,11
2014-10-12,70,10
2014-10-19,64,10
2014-10-26,72,9
2014-11-02,71,11
2014-11-09,78,11
2014-11-16,66,12
2014-11-23,64,9
2014-11-30,63,15
2014-12-07,70,13
2014-12-14,63,14
2014-12-21,58,12
2014-12-28,73,15
