Category: All categories

Week,Real Estate: (Portugal)
2006-01-01,67
2006-01-08,65
2006-01-15,66
2006-01-22,78
2006-01-29,69
2006-02-05,66
2006-02-12,70
2006-02-19,69
2006-02-26,78
2006-03-05,70
2006-03-12,71
2006-03-19,75
2006-03-26,75
2006-04-02,77
2006-04-09,72
2006-04-16,76
2006-04-23,81
2006-04-30,68
2006-05-07,66
2006-05-14,68
2006-05-21,57
2006-05-28,64
2006-06-04,67
2006-06-11,64
2006-06-18,63
2006-06-25,69
2006-07-02,76
2006-07-09,52
2006-07-16,69
2006-07-23,72
2006-07-30,69
2006-08-06,86
2006-08-13,88
2006-08-20,90
2006-08-27,88
2006-09-03,87
2006-09-10,75
2006-09-17,78
2006-09-24,92
2006-10-01,81
2006-10-08,100
2006-10-15,74
2006-10-22,74
2006-10-29,73
2006-11-05,66
2006-11-12,63
2006-11-19,87
2006-11-26,55
2006-12-03,57
2006-12-10,47
2006-12-17,45
2006-12-24,58
2006-12-31,65
2007-01-07,67
2007-01-14,80
2007-01-21,74
2007-01-28,66
2007-02-04,76
2007-02-11,72
2007-02-18,74
2007-02-25,64
2007-03-04,60
2007-03-11,66
2007-03-18,67
2007-03-25,64
2007-04-01,61
2007-04-08,68
2007-04-15,72
2007-04-22,65
2007-04-29,79
2007-05-06,75
2007-05-13,69
2007-05-20,82
2007-05-27,68
2007-06-03,69
2007-06-10,78
2007-06-17,72
2007-06-24,70
2007-07-01,68
2007-07-08,60
2007-07-15,75
2007-07-22,73
2007-07-29,71
2007-08-05,74
2007-08-12,80
2007-08-19,84
2007-08-26,68
2007-09-02,76
2007-09-09,76
2007-09-16,70
2007-09-23,67
2007-09-30,64
2007-10-07,76
2007-10-14,76
2007-10-21,76
2007-10-28,62
2007-11-04,69
2007-11-11,57
2007-11-18,58
2007-11-25,60
2007-12-02,48
2007-12-09,48
2007-12-16,43
2007-12-23,55
2007-12-30,70
