Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2010-01-03,65,21
2010-01-10,73,22
2010-01-17,69,18
2010-01-24,73,17
2010-01-31,76,24
2010-02-07,68,15
2010-02-14,55,17
2010-02-21,69,21
2010-02-28,64,20
2010-03-07,67,16
2010-03-14,65,21
2010-03-21,60,13
2010-03-28,45,15
2010-04-04,56,23
2010-04-11,72,17
2010-04-18,85,21
2010-04-25,75,18
2010-05-02,79,16
2010-05-09,76,15
2010-05-16,94,14
2010-05-23,100,18
2010-05-30,82,15
2010-06-06,66,16
2010-06-13,47,14
2010-06-20,39,17
2010-06-27,46,10
2010-07-04,45,12
2010-07-11,38,15
2010-07-18,36,14
2010-07-25,47,21
2010-08-01,42,16
2010-08-08,32,10
2010-08-15,37,19
2010-08-22,36,11
2010-08-29,30,12
2010-09-05,35,10
2010-09-12,51,17
2010-09-19,52,20
2010-09-26,47,21
2010-10-03,52,16
2010-10-10,57,20
2010-10-17,49,15
2010-10-24,55,18
2010-10-31,62,20
2010-11-07,60,18
2010-11-14,61,20
2010-11-21,60,18
2010-11-28,57,16
2010-12-05,55,22
2010-12-12,47,19
2010-12-19,33,14
2010-12-26,29,20
