Category: All categories

Week,Potato: (Portugal)
2015-01-04,54
2015-01-11,62
2015-01-18,64
2015-01-25,61
2015-02-01,57
2015-02-08,58
2015-02-15,59
2015-02-22,60
2015-03-01,50
2015-03-08,53
2015-03-15,61
2015-03-22,60
2015-03-29,50
2015-04-05,50
2015-04-12,52
2015-04-19,52
2015-04-26,55
2015-05-03,46
2015-05-10,53
2015-05-17,51
2015-05-24,53
2015-05-31,52
2015-06-07,43
2015-06-14,47
2015-06-21,37
2015-06-28,41
2015-07-05,40
2015-07-12,38
2015-07-19,46
2015-07-26,39
2015-08-02,40
2015-08-09,45
2015-08-16,48
2015-08-23,48
2015-08-30,49
2015-09-06,52
2015-09-13,59
2015-09-20,62
2015-09-27,56
2015-10-04,54
2015-10-11,72
2015-10-18,76
2015-10-25,83
2015-11-01,69
2015-11-08,62
2015-11-15,63
2015-11-22,69
2015-11-29,63
2015-12-06,73
2015-12-13,62
2015-12-20,86
2015-12-27,61
2016-01-03,66
2016-01-10,65
2016-01-17,74
2016-01-24,64
2016-01-31,63
2016-02-07,62
2016-02-14,58
2016-02-21,71
2016-02-28,67
2016-03-06,57
2016-03-13,59
2016-03-20,66
2016-03-27,63
2016-04-03,69
2016-04-10,63
2016-04-17,54
2016-04-24,54
2016-05-01,53
2016-05-08,59
2016-05-15,54
2016-05-22,57
2016-05-29,46
2016-06-05,51
2016-06-12,54
2016-06-19,49
2016-06-26,37
2016-07-03,43
2016-07-10,41
2016-07-17,51
2016-07-24,46
2016-07-31,48
2016-08-07,41
2016-08-14,50
2016-08-21,58
2016-08-28,53
2016-09-04,52
2016-09-11,55
2016-09-18,61
2016-09-25,60
2016-10-02,64
2016-10-09,76
2016-10-16,78
2016-10-23,74
2016-10-30,77
2016-11-06,72
2016-11-13,82
2016-11-20,78
2016-11-27,74
2016-12-04,69
2016-12-11,72
2016-12-18,100
2016-12-25,73
