Category: All categories

Week,Renovation: (Portugal)
2017-01-01,62
2017-01-08,59
2017-01-15,48
2017-01-22,53
2017-01-29,83
2017-02-05,43
2017-02-12,66
2017-02-19,52
2017-02-26,53
2017-03-05,32
2017-03-12,61
2017-03-19,100
2017-03-26,86
2017-04-02,53
2017-04-09,59
2017-04-16,67
2017-04-23,39
2017-04-30,45
2017-05-07,76
2017-05-14,91
2017-05-21,68
2017-05-28,69
2017-06-04,18
2017-06-11,37
2017-06-18,50
2017-06-25,52
2017-07-02,52
2017-07-09,37
2017-07-16,33
2017-07-23,72
2017-07-30,49
2017-08-06,43
2017-08-13,37
2017-08-20,86
2017-08-27,83
2017-09-03,46
2017-09-10,49
2017-09-17,72
2017-09-24,31
2017-10-01,81
2017-10-08,80
2017-10-15,47
2017-10-22,60
2017-10-29,36
2017-11-05,55
2017-11-12,28
2017-11-19,58
2017-11-26,44
2017-12-03,67
2017-12-10,18
2017-12-17,36
2017-12-24,55
2017-12-31,63
