Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2012-01-01,71,52
2012-01-08,85,59
2012-01-15,82,59
2012-01-22,80,62
2012-01-29,69,57
2012-02-05,78,62
2012-02-12,73,57
2012-02-19,64,55
2012-02-26,74,66
2012-03-04,77,58
2012-03-11,82,57
2012-03-18,80,62
2012-03-25,63,58
2012-04-01,51,60
2012-04-08,67,52
2012-04-15,89,67
2012-04-22,74,57
2012-04-29,81,52
2012-05-06,90,51
2012-05-13,96,54
2012-05-20,95,58
2012-05-27,100,53
2012-06-03,82,51
2012-06-10,77,50
2012-06-17,65,51
2012-06-24,72,51
2012-07-01,66,53
2012-07-08,60,55
2012-07-15,53,57
2012-07-22,45,52
2012-07-29,41,54
2012-08-05,42,63
2012-08-12,41,63
2012-08-19,44,76
2012-08-26,45,68
2012-09-02,46,67
2012-09-09,57,62
2012-09-16,65,63
2012-09-23,57,59
2012-09-30,53,58
2012-10-07,58,64
2012-10-14,60,63
2012-10-21,61,60
2012-10-28,63,58
2012-11-04,67,68
2012-11-11,62,65
2012-11-18,65,63
2012-11-25,71,63
2012-12-02,68,56
2012-12-09,65,48
2012-12-16,55,42
2012-12-23,62,39
2012-12-30,72,45
