Category: All categories

Week,Video game: (Portugal)
2011-01-02,66
2011-01-09,66
2011-01-16,71
2011-01-23,65
2011-01-30,65
2011-02-06,65
2011-02-13,65
2011-02-20,64
2011-02-27,64
2011-03-06,81
2011-03-13,56
2011-03-20,59
2011-03-27,60
2011-04-03,61
2011-04-10,78
2011-04-17,82
2011-04-24,61
2011-05-01,60
2011-05-08,59
2011-05-15,52
2011-05-22,56
2011-05-29,54
2011-06-05,62
2011-06-12,57
2011-06-19,72
2011-06-26,68
2011-07-03,69
2011-07-10,71
2011-07-17,69
2011-07-24,76
2011-07-31,79
2011-08-07,79
2011-08-14,81
2011-08-21,80
2011-08-28,77
2011-09-04,77
2011-09-11,65
2011-09-18,59
2011-09-25,59
2011-10-02,60
2011-10-09,54
2011-10-16,56
2011-10-23,61
2011-10-30,65
2011-11-06,64
2011-11-13,61
2011-11-20,66
2011-11-27,70
2011-12-04,71
2011-12-11,72
2011-12-18,100
2011-12-25,81
