Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2008-01-06,71,32
2008-01-13,66,29
2008-01-20,61,33
2008-01-27,62,25
2008-02-03,54,33
2008-02-10,61,30
2008-02-17,73,35
2008-02-24,73,35
2008-03-02,72,34
2008-03-09,60,36
2008-03-16,53,44
2008-03-23,47,33
2008-03-30,74,34
2008-04-06,68,33
2008-04-13,68,38
2008-04-20,82,39
2008-04-27,66,40
2008-05-04,89,35
2008-05-11,82,31
2008-05-18,90,34
2008-05-25,100,33
2008-06-01,95,34
2008-06-08,76,33
2008-06-15,69,34
2008-06-22,55,31
2008-06-29,50,33
2008-07-06,51,30
2008-07-13,60,30
2008-07-20,35,38
2008-07-27,31,29
2008-08-03,34,21
2008-08-10,28,31
2008-08-17,38,29
2008-08-24,32,35
2008-08-31,36,37
2008-09-07,39,31
2008-09-14,52,36
2008-09-21,59,40
2008-09-28,61,41
2008-10-05,66,38
2008-10-12,60,45
2008-10-19,58,38
2008-10-26,59,35
2008-11-02,53,40
2008-11-09,65,36
2008-11-16,72,32
2008-11-23,61,34
2008-11-30,57,38
2008-12-07,54,26
2008-12-14,63,69
2008-12-21,40,51
2008-12-28,51,39
