Category: All categories

Week,Travel agency: (Portugal)
2015-01-04,73
2015-01-11,67
2015-01-18,72
2015-01-25,65
2015-02-01,80
2015-02-08,62
2015-02-15,57
2015-02-22,79
2015-03-01,77
2015-03-08,80
2015-03-15,61
2015-03-22,64
2015-03-29,58
2015-04-05,89
2015-04-12,100
2015-04-19,68
2015-04-26,56
2015-05-03,81
2015-05-10,98
2015-05-17,67
2015-05-24,79
2015-05-31,60
2015-06-07,80
2015-06-14,74
2015-06-21,94
2015-06-28,81
2015-07-05,88
2015-07-12,88
2015-07-19,85
2015-07-26,81
2015-08-02,67
2015-08-09,84
2015-08-16,76
2015-08-23,57
2015-08-30,53
2015-09-06,55
2015-09-13,44
2015-09-20,49
2015-09-27,44
2015-10-04,52
2015-10-11,59
2015-10-18,42
2015-10-25,56
2015-11-01,45
2015-11-08,45
2015-11-15,57
2015-11-22,41
2015-11-29,43
2015-12-06,43
2015-12-13,38
2015-12-20,33
2015-12-27,40
2016-01-03,68
2016-01-10,67
2016-01-17,75
2016-01-24,70
2016-01-31,53
2016-02-07,75
2016-02-14,50
2016-02-21,70
2016-02-28,66
2016-03-06,60
2016-03-13,63
2016-03-20,57
2016-03-27,70
2016-04-03,56
2016-04-10,64
2016-04-17,72
2016-04-24,63
2016-05-01,69
2016-05-08,56
2016-05-15,69
2016-05-22,58
2016-05-29,75
2016-06-05,66
2016-06-12,72
2016-06-19,77
2016-06-26,49
2016-07-03,77
2016-07-10,60
2016-07-17,70
2016-07-24,85
2016-07-31,50
2016-08-07,69
2016-08-14,64
2016-08-21,69
2016-08-28,48
2016-09-04,57
2016-09-11,42
2016-09-18,39
2016-09-25,54
2016-10-02,45
2016-10-09,64
2016-10-16,51
2016-10-23,42
2016-10-30,18
2016-11-06,35
2016-11-13,39
2016-11-20,33
2016-11-27,36
2016-12-04,38
2016-12-11,49
2016-12-18,28
2016-12-25,33
