Category: All categories

Week,Video game: (Portugal)
2017-01-01,77
2017-01-08,73
2017-01-15,74
2017-01-22,73
2017-01-29,81
2017-02-05,75
2017-02-12,71
2017-02-19,66
2017-02-26,89
2017-03-05,68
2017-03-12,65
2017-03-19,67
2017-03-26,70
2017-04-02,75
2017-04-09,84
2017-04-16,67
2017-04-23,71
2017-04-30,70
2017-05-07,67
2017-05-14,57
2017-05-21,58
2017-05-28,61
2017-06-04,62
2017-06-11,67
2017-06-18,64
2017-06-25,74
2017-07-02,68
2017-07-09,65
2017-07-16,66
2017-07-23,72
2017-07-30,72
2017-08-06,67
2017-08-13,73
2017-08-20,73
2017-08-27,71
2017-09-03,62
2017-09-10,63
2017-09-17,56
2017-09-24,66
2017-10-01,67
2017-10-08,59
2017-10-15,62
2017-10-22,61
2017-10-29,72
2017-11-05,67
2017-11-12,77
2017-11-19,79
2017-11-26,81
2017-12-03,75
2017-12-10,71
2017-12-17,96
2017-12-24,100
2017-12-31,73
2018-01-07,62
2018-01-14,63
2018-01-21,61
2018-01-28,64
2018-02-04,58
2018-02-11,68
2018-02-18,57
2018-02-25,60
2018-03-04,65
2018-03-11,64
2018-03-18,66
2018-03-25,75
2018-04-01,66
2018-04-08,57
2018-04-15,56
2018-04-22,58
2018-04-29,60
2018-05-06,55
2018-05-13,56
2018-05-20,58
2018-05-27,61
2018-06-03,65
2018-06-10,66
2018-06-17,61
2018-06-24,72
2018-07-01,62
2018-07-08,61
2018-07-15,64
2018-07-22,63
2018-07-29,61
2018-08-05,64
2018-08-12,69
2018-08-19,66
2018-08-26,73
2018-09-02,69
2018-09-09,64
2018-09-16,57
2018-09-23,61
2018-09-30,64
2018-10-07,60
2018-10-14,58
2018-10-21,58
2018-10-28,64
2018-11-04,59
2018-11-11,68
2018-11-18,76
2018-11-25,70
2018-12-02,69
2018-12-09,71
2018-12-16,83
2018-12-23,93
2018-12-30,67
