Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2016-01-03,93,2
2016-01-10,82,1
2016-01-17,88,0
2016-01-24,81,3
2016-01-31,76,1
2016-02-07,67,1
2016-02-14,79,1
2016-02-21,87,2
2016-02-28,90,2
2016-03-06,84,0
2016-03-13,78,3
2016-03-20,67,0
2016-03-27,66,1
2016-04-03,80,4
2016-04-10,87,1
2016-04-17,86,1
2016-04-24,86,1
2016-05-01,93,0
2016-05-08,95,1
2016-05-15,100,1
2016-05-22,93,0
2016-05-29,96,0
2016-06-05,75,1
2016-06-12,82,0
2016-06-19,57,0
2016-06-26,62,1
2016-07-03,57,3
2016-07-10,57,1
2016-07-17,58,0
2016-07-24,56,1
2016-07-31,46,0
2016-08-07,45,1
2016-08-14,44,2
2016-08-21,52,0
2016-08-28,66,0
2016-09-04,58,1
2016-09-11,59,1
2016-09-18,67,2
2016-09-25,74,3
2016-10-02,74,0
2016-10-09,72,1
2016-10-16,74,2
2016-10-23,76,2
2016-10-30,70,2
2016-11-06,89,0
2016-11-13,81,2
2016-11-20,79,0
2016-11-27,77,3
2016-12-04,68,3
2016-12-11,63,3
2016-12-18,47,5
2016-12-25,56,4
