Category: All categories

Week,Video game: (Portugal)
2012-01-01,77
2012-01-08,74
2012-01-15,71
2012-01-22,72
2012-01-29,69
2012-02-05,69
2012-02-12,68
2012-02-19,92
2012-02-26,68
2012-03-04,68
2012-03-11,69
2012-03-18,75
2012-03-25,88
2012-04-01,98
2012-04-08,69
2012-04-15,64
2012-04-22,73
2012-04-29,74
2012-05-06,68
2012-05-13,63
2012-05-20,64
2012-05-27,67
2012-06-03,76
2012-06-10,71
2012-06-17,88
2012-06-24,86
2012-07-01,86
2012-07-08,84
2012-07-15,87
2012-07-22,87
2012-07-29,90
2012-08-05,90
2012-08-12,97
2012-08-19,87
2012-08-26,93
2012-09-02,85
2012-09-09,82
2012-09-16,61
2012-09-23,64
2012-09-30,70
2012-10-07,65
2012-10-14,60
2012-10-21,60
2012-10-28,73
2012-11-04,63
2012-11-11,66
2012-11-18,61
2012-11-25,64
2012-12-02,66
2012-12-09,76
2012-12-16,94
2012-12-23,100
2012-12-30,85
2013-01-06,59
2013-01-13,63
2013-01-20,60
2013-01-27,59
2013-02-03,58
2013-02-10,73
2013-02-17,57
2013-02-24,54
2013-03-03,57
2013-03-10,59
2013-03-17,78
2013-03-24,77
2013-03-31,61
2013-04-07,55
2013-04-14,55
2013-04-21,58
2013-04-28,58
2013-05-05,52
2013-05-12,55
2013-05-19,52
2013-05-26,48
2013-06-02,53
2013-06-09,67
2013-06-16,62
2013-06-23,65
2013-06-30,61
2013-07-07,64
2013-07-14,65
2013-07-21,64
2013-07-28,66
2013-08-04,67
2013-08-11,68
2013-08-18,68
2013-08-25,63
2013-09-01,66
2013-09-08,64
2013-09-15,51
2013-09-22,54
2013-09-29,52
2013-10-06,53
2013-10-13,52
2013-10-20,50
2013-10-27,47
2013-11-03,54
2013-11-10,52
2013-11-17,51
2013-11-24,49
2013-12-01,53
2013-12-08,56
2013-12-15,70
2013-12-22,81
2013-12-29,72
