Category: All categories

Week,Novel: (Portugal)
2012-01-01,75
2012-01-08,41
2012-01-15,67
2012-01-22,77
2012-01-29,70
2012-02-05,90
2012-02-12,61
2012-02-19,86
2012-02-26,44
2012-03-04,67
2012-03-11,26
2012-03-18,68
2012-03-25,83
2012-04-01,52
2012-04-08,95
2012-04-15,75
2012-04-22,78
2012-04-29,45
2012-05-06,59
2012-05-13,81
2012-05-20,72
2012-05-27,73
2012-06-03,58
2012-06-10,57
2012-06-17,44
2012-06-24,100
2012-07-01,63
2012-07-08,46
2012-07-15,63
2012-07-22,67
2012-07-29,36
2012-08-05,60
2012-08-12,35
2012-08-19,34
2012-08-26,36
2012-09-02,65
2012-09-09,81
2012-09-16,18
2012-09-23,30
2012-09-30,53
2012-10-07,39
2012-10-14,42
2012-10-21,44
2012-10-28,35
2012-11-04,33
2012-11-11,36
2012-11-18,59
2012-11-25,72
2012-12-02,70
2012-12-09,53
2012-12-16,44
2012-12-23,49
2012-12-30,40
