Category: All categories

Week,Energy: (Portugal),Health care: (Portugal)
2015-01-04,87,7
2015-01-11,100,7
2015-01-18,93,9
2015-01-25,85,6
2015-02-01,75,6
2015-02-08,76,6
2015-02-15,70,4
2015-02-22,92,6
2015-03-01,84,3
2015-03-08,83,4
2015-03-15,84,5
2015-03-22,69,3
2015-03-29,58,5
2015-04-05,73,6
2015-04-12,82,5
2015-04-19,78,5
2015-04-26,73,6
2015-05-03,77,6
2015-05-10,84,7
2015-05-17,78,5
2015-05-24,84,6
2015-05-31,71,3
2015-06-07,75,6
2015-06-14,65,4
2015-06-21,56,8
2015-06-28,57,5
2015-07-05,50,8
2015-07-12,52,5
2015-07-19,48,4
2015-07-26,56,5
2015-08-02,41,6
2015-08-09,43,2
2015-08-16,46,3
2015-08-23,44,4
2015-08-30,55,4
2015-09-06,55,4
2015-09-13,50,3
2015-09-20,58,5
2015-09-27,65,3
2015-10-04,62,7
2015-10-11,67,4
2015-10-18,64,3
2015-10-25,69,6
2015-11-01,69,3
2015-11-08,62,6
2015-11-15,62,7
2015-11-22,71,4
2015-11-29,71,6
2015-12-06,63,7
2015-12-13,66,9
2015-12-20,39,3
2015-12-27,54,6
