Category: All categories

Week,Real Estate: (Portugal)
2015-01-04,75
2015-01-11,75
2015-01-18,80
2015-01-25,86
2015-02-01,83
2015-02-08,81
2015-02-15,81
2015-02-22,83
2015-03-01,91
2015-03-08,75
2015-03-15,78
2015-03-22,71
2015-03-29,71
2015-04-05,89
2015-04-12,89
2015-04-19,83
2015-04-26,82
2015-05-03,77
2015-05-10,79
2015-05-17,77
2015-05-24,76
2015-05-31,73
2015-06-07,77
2015-06-14,74
2015-06-21,73
2015-06-28,72
2015-07-05,71
2015-07-12,78
2015-07-19,76
2015-07-26,80
2015-08-02,73
2015-08-09,80
2015-08-16,100
2015-08-23,96
2015-08-30,96
2015-09-06,96
2015-09-13,86
2015-09-20,99
2015-09-27,80
2015-10-04,85
2015-10-11,89
2015-10-18,85
2015-10-25,81
2015-11-01,89
2015-11-08,82
2015-11-15,76
2015-11-22,75
2015-11-29,65
2015-12-06,70
2015-12-13,69
2015-12-20,57
2015-12-27,79
