Category: All categories

Week,Beer: (Portugal)
2016-01-03,60
2016-01-10,54
2016-01-17,61
2016-01-24,68
2016-01-31,54
2016-02-07,60
2016-02-14,69
2016-02-21,57
2016-02-28,63
2016-03-06,64
2016-03-13,57
2016-03-20,78
2016-03-27,71
2016-04-03,74
2016-04-10,66
2016-04-17,68
2016-04-24,68
2016-05-01,82
2016-05-08,85
2016-05-15,71
2016-05-22,76
2016-05-29,72
2016-06-05,78
2016-06-12,94
2016-06-19,87
2016-06-26,88
2016-07-03,89
2016-07-10,74
2016-07-17,80
2016-07-24,86
2016-07-31,90
2016-08-07,79
2016-08-14,100
2016-08-21,94
2016-08-28,89
2016-09-04,88
2016-09-11,79
2016-09-18,90
2016-09-25,92
2016-10-02,73
2016-10-09,79
2016-10-16,70
2016-10-23,77
2016-10-30,74
2016-11-06,69
2016-11-13,72
2016-11-20,65
2016-11-27,67
2016-12-04,74
2016-12-11,74
2016-12-18,74
2016-12-25,88
