Category: All categories

Week,Mobile phone: (Portugal)
2009-01-04,84
2009-01-11,84
2009-01-18,81
2009-01-25,78
2009-02-01,76
2009-02-08,71
2009-02-15,72
2009-02-22,76
2009-03-01,69
2009-03-08,74
2009-03-15,72
2009-03-22,73
2009-03-29,68
2009-04-05,72
2009-04-12,72
2009-04-19,69
2009-04-26,74
2009-05-03,71
2009-05-10,69
2009-05-17,74
2009-05-24,69
2009-05-31,62
2009-06-07,72
2009-06-14,68
2009-06-21,75
2009-06-28,75
2009-07-05,81
2009-07-12,81
2009-07-19,82
2009-07-26,74
2009-08-02,90
2009-08-09,88
2009-08-16,91
2009-08-23,89
2009-08-30,81
2009-09-06,72
2009-09-13,71
2009-09-20,76
2009-09-27,73
2009-10-04,82
2009-10-11,73
2009-10-18,75
2009-10-25,75
2009-11-01,73
2009-11-08,77
2009-11-15,75
2009-11-22,83
2009-11-29,87
2009-12-06,86
2009-12-13,86
2009-12-20,100
2009-12-27,90
