Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2011-01-02,69,26
2011-01-09,82,19
2011-01-16,81,20
2011-01-23,78,20
2011-01-30,74,20
2011-02-06,80,21
2011-02-13,72,20
2011-02-20,83,21
2011-02-27,79,24
2011-03-06,65,25
2011-03-13,89,19
2011-03-20,82,24
2011-03-27,75,22
2011-04-03,70,20
2011-04-10,51,16
2011-04-17,59,18
2011-04-24,73,17
2011-05-01,82,19
2011-05-08,82,19
2011-05-15,94,23
2011-05-22,100,18
2011-05-29,98,16
2011-06-05,91,22
2011-06-12,99,23
2011-06-19,80,18
2011-06-26,100,20
2011-07-03,88,20
2011-07-10,83,14
2011-07-17,92,19
2011-07-24,78,16
2011-07-31,57,18
2011-08-07,47,22
2011-08-14,45,20
2011-08-21,49,17
2011-08-28,43,21
2011-09-04,52,18
2011-09-11,48,20
2011-09-18,61,19
2011-09-25,62,21
2011-10-02,65,27
2011-10-09,63,24
2011-10-16,71,23
2011-10-23,64,22
2011-10-30,61,21
2011-11-06,66,21
2011-11-13,71,24
2011-11-20,66,22
2011-11-27,63,20
2011-12-04,58,20
2011-12-11,62,21
2011-12-18,41,22
2011-12-25,51,26
