Category: All categories

Week,ebook: (Portugal)
2011-01-02,96
2011-01-09,68
2011-01-16,77
2011-01-23,77
2011-01-30,75
2011-02-06,79
2011-02-13,84
2011-02-20,81
2011-02-27,87
2011-03-06,88
2011-03-13,69
2011-03-20,88
2011-03-27,81
2011-04-03,74
2011-04-10,63
2011-04-17,60
2011-04-24,67
2011-05-01,64
2011-05-08,73
2011-05-15,77
2011-05-22,63
2011-05-29,59
2011-06-05,88
2011-06-12,79
2011-06-19,66
2011-06-26,67
2011-07-03,65
2011-07-10,51
2011-07-17,73
2011-07-24,73
2011-07-31,66
2011-08-07,84
2011-08-14,77
2011-08-21,60
2011-08-28,75
2011-09-04,73
2011-09-11,71
2011-09-18,72
2011-09-25,74
2011-10-02,100
2011-10-09,83
2011-10-16,79
2011-10-23,82
2011-10-30,72
2011-11-06,77
2011-11-13,80
2011-11-20,79
2011-11-27,76
2011-12-04,69
2011-12-11,83
2011-12-18,81
2011-12-25,94
