Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2015-01-04,87,36
2015-01-11,100,29
2015-01-18,93,35
2015-01-25,85,34
2015-02-01,75,36
2015-02-08,76,34
2015-02-15,70,40
2015-02-22,92,37
2015-03-01,84,31
2015-03-08,83,36
2015-03-15,84,31
2015-03-22,69,35
2015-03-29,58,36
2015-04-05,73,37
2015-04-12,82,38
2015-04-19,78,34
2015-04-26,73,35
2015-05-03,77,34
2015-05-10,84,31
2015-05-17,78,37
2015-05-24,84,39
2015-05-31,71,41
2015-06-07,75,35
2015-06-14,65,43
2015-06-21,56,35
2015-06-28,57,37
2015-07-05,50,40
2015-07-12,52,38
2015-07-19,48,44
2015-07-26,56,38
2015-08-02,41,39
2015-08-09,43,48
2015-08-16,46,47
2015-08-23,44,50
2015-08-30,55,41
2015-09-06,55,42
2015-09-13,50,41
2015-09-20,58,41
2015-09-27,65,40
2015-10-04,62,45
2015-10-11,67,38
2015-10-18,64,32
2015-10-25,69,35
2015-11-01,69,41
2015-11-08,62,34
2015-11-15,62,37
2015-11-22,71,37
2015-11-29,71,35
2015-12-06,63,41
2015-12-13,66,34
2015-12-20,39,40
2015-12-27,54,44
