Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2016-01-03,95,8
2016-01-10,82,5
2016-01-17,88,4
2016-01-24,83,3
2016-01-31,79,2
2016-02-07,67,2
2016-02-14,81,3
2016-02-21,86,5
2016-02-28,92,3
2016-03-06,85,4
2016-03-13,79,2
2016-03-20,66,4
2016-03-27,69,4
2016-04-03,80,4
2016-04-10,89,6
2016-04-17,87,3
2016-04-24,88,4
2016-05-01,91,4
2016-05-08,97,6
2016-05-15,100,6
2016-05-22,95,6
2016-05-29,98,4
2016-06-05,77,3
2016-06-12,83,6
2016-06-19,57,4
2016-06-26,62,7
2016-07-03,59,7
2016-07-10,56,6
2016-07-17,60,5
2016-07-24,60,7
2016-07-31,50,7
2016-08-07,45,4
2016-08-14,45,9
2016-08-21,54,5
2016-08-28,64,3
2016-09-04,59,5
2016-09-11,60,2
2016-09-18,70,3
2016-09-25,75,3
2016-10-02,75,4
2016-10-09,74,3
2016-10-16,73,4
2016-10-23,77,5
2016-10-30,71,3
2016-11-06,88,0
2016-11-13,83,1
2016-11-20,79,3
2016-11-27,77,3
2016-12-04,69,4
2016-12-11,63,4
2016-12-18,51,5
2016-12-25,58,7
