Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2015-01-04,89,3
2015-01-11,100,2
2015-01-18,95,2
2015-01-25,87,1
2015-02-01,78,2
2015-02-08,77,5
2015-02-15,70,3
2015-02-22,96,3
2015-03-01,85,4
2015-03-08,85,1
2015-03-15,84,2
2015-03-22,74,4
2015-03-29,59,3
2015-04-05,74,1
2015-04-12,83,2
2015-04-19,79,5
2015-04-26,73,1
2015-05-03,79,4
2015-05-10,84,4
2015-05-17,79,3
2015-05-24,83,3
2015-05-31,72,2
2015-06-07,76,2
2015-06-14,67,2
2015-06-21,56,5
2015-06-28,57,1
2015-07-05,50,3
2015-07-12,54,2
2015-07-19,52,3
2015-07-26,57,3
2015-08-02,43,2
2015-08-09,44,2
2015-08-16,44,2
2015-08-23,46,2
2015-08-30,56,2
2015-09-06,53,3
2015-09-13,52,1
2015-09-20,59,2
2015-09-27,66,3
2015-10-04,65,5
2015-10-11,66,4
2015-10-18,67,5
2015-10-25,72,3
2015-11-01,71,1
2015-11-08,65,1
2015-11-15,64,2
2015-11-22,71,3
2015-11-29,73,2
2015-12-06,61,2
2015-12-13,65,2
2015-12-20,40,2
2015-12-27,54,3
