Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2013-01-06,60,67
2013-01-13,57,63
2013-01-20,62,69
2013-01-27,56,68
2013-02-03,54,71
2013-02-10,43,65
2013-02-17,55,69
2013-02-24,59,78
2013-03-03,62,79
2013-03-10,51,77
2013-03-17,43,83
2013-03-24,50,83
2013-03-31,53,73
2013-04-07,62,76
2013-04-14,58,94
2013-04-21,53,83
2013-04-28,58,85
2013-05-05,56,81
2013-05-12,63,85
2013-05-19,69,86
2013-05-26,70,77
2013-06-02,57,86
2013-06-09,45,82
2013-06-16,45,69
2013-06-23,39,74
2013-06-30,33,68
2013-07-07,34,71
2013-07-14,39,75
2013-07-21,34,68
2013-07-28,29,68
2013-08-04,28,69
2013-08-11,24,63
2013-08-18,30,72
2013-08-25,30,73
2013-09-01,32,71
2013-09-08,37,80
2013-09-15,38,82
2013-09-22,42,96
2013-09-29,46,98
2013-10-06,46,89
2013-10-13,46,94
2013-10-20,48,89
2013-10-27,50,90
2013-11-03,53,100
2013-11-10,50,81
2013-11-17,53,90
2013-11-24,62,86
2013-12-01,71,84
2013-12-08,62,87
2013-12-15,48,73
2013-12-22,39,82
2013-12-29,46,89
