Category: All categories

Week,Novel: (Portugal)
2011-01-02,32
2011-01-09,40
2011-01-16,14
2011-01-23,49
2011-01-30,41
2011-02-06,46
2011-02-13,34
2011-02-20,40
2011-02-27,59
2011-03-06,26
2011-03-13,48
2011-03-20,19
2011-03-27,35
2011-04-03,15
2011-04-10,27
2011-04-17,49
2011-04-24,60
2011-05-01,46
2011-05-08,56
2011-05-15,32
2011-05-22,44
2011-05-29,33
2011-06-05,42
2011-06-12,36
2011-06-19,40
2011-06-26,40
2011-07-03,26
2011-07-10,48
2011-07-17,49
2011-07-24,41
2011-07-31,51
2011-08-07,54
2011-08-14,65
2011-08-21,68
2011-08-28,42
2011-09-04,44
2011-09-11,48
2011-09-18,40
2011-09-25,43
2011-10-02,56
2011-10-09,43
2011-10-16,44
2011-10-23,55
2011-10-30,35
2011-11-06,75
2011-11-13,47
2011-11-20,70
2011-11-27,73
2011-12-04,35
2011-12-11,70
2011-12-18,56
2011-12-25,54
2012-01-01,71
2012-01-08,47
2012-01-15,64
2012-01-22,68
2012-01-29,57
2012-02-05,93
2012-02-12,58
2012-02-19,91
2012-02-26,38
2012-03-04,80
2012-03-11,58
2012-03-18,63
2012-03-25,64
2012-04-01,57
2012-04-08,77
2012-04-15,61
2012-04-22,79
2012-04-29,54
2012-05-06,90
2012-05-13,64
2012-05-20,71
2012-05-27,70
2012-06-03,53
2012-06-10,56
2012-06-17,46
2012-06-24,100
2012-07-01,57
2012-07-08,58
2012-07-15,51
2012-07-22,66
2012-07-29,34
2012-08-05,57
2012-08-12,44
2012-08-19,26
2012-08-26,34
2012-09-02,56
2012-09-09,88
2012-09-16,25
2012-09-23,38
2012-09-30,48
2012-10-07,52
2012-10-14,28
2012-10-21,53
2012-10-28,39
2012-11-04,33
2012-11-11,38
2012-11-18,60
2012-11-25,63
2012-12-02,62
2012-12-09,59
2012-12-16,57
2012-12-23,37
2012-12-30,45
