Category: All categories

Week,Health care: (Portugal)
2006-01-01,0
2006-01-08,0
2006-01-15,100
2006-01-22,40
2006-01-29,0
2006-02-05,0
2006-02-12,0
2006-02-19,0
2006-02-26,33
2006-03-05,0
2006-03-12,52
2006-03-19,34
2006-03-26,0
2006-04-02,0
2006-04-09,31
2006-04-16,0
2006-04-23,0
2006-04-30,0
2006-05-07,92
2006-05-14,0
2006-05-21,47
2006-05-28,46
2006-06-04,0
2006-06-11,0
2006-06-18,28
2006-06-25,0
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,70
2006-07-30,36
2006-08-06,0
2006-08-13,83
2006-08-20,0
2006-08-27,0
2006-09-03,60
2006-09-10,68
2006-09-17,29
2006-09-24,68
2006-10-01,32
2006-10-08,62
2006-10-15,0
2006-10-22,49
2006-10-29,0
2006-11-05,32
2006-11-12,32
2006-11-19,24
2006-11-26,50
2006-12-03,0
2006-12-10,24
2006-12-17,0
2006-12-24,30
2006-12-31,0
