Category: All categories

Week,Amusement park: (Portugal)
2009-01-04,0
2009-01-11,0
2009-01-18,37
2009-01-25,55
2009-02-01,27
2009-02-08,26
2009-02-15,24
2009-02-22,36
2009-03-01,21
2009-03-08,41
2009-03-15,22
2009-03-22,0
2009-03-29,27
2009-04-05,41
2009-04-12,26
2009-04-19,45
2009-04-26,33
2009-05-03,29
2009-05-10,25
2009-05-17,52
2009-05-24,80
2009-05-31,49
2009-06-07,84
2009-06-14,41
2009-06-21,87
2009-06-28,52
2009-07-05,43
2009-07-12,52
2009-07-19,98
2009-07-26,61
2009-08-02,100
2009-08-09,51
2009-08-16,51
2009-08-23,0
2009-08-30,44
2009-09-06,50
2009-09-13,18
2009-09-20,0
2009-09-27,45
2009-10-04,0
2009-10-11,25
2009-10-18,49
2009-10-25,15
2009-11-01,0
2009-11-08,15
2009-11-15,38
2009-11-22,57
2009-11-29,23
2009-12-06,15
2009-12-13,0
2009-12-20,42
2009-12-27,0
