Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2009-01-04,56,69
2009-01-11,47,75
2009-01-18,42,73
2009-01-25,46,70
2009-02-01,41,68
2009-02-08,44,69
2009-02-15,52,65
2009-02-22,42,77
2009-03-01,59,74
2009-03-08,55,74
2009-03-15,47,78
2009-03-22,55,72
2009-03-29,35,72
2009-04-05,34,68
2009-04-12,48,69
2009-04-19,46,68
2009-04-26,47,71
2009-05-03,51,69
2009-05-10,46,74
2009-05-17,47,70
2009-05-24,56,61
2009-05-31,46,68
2009-06-07,33,62
2009-06-14,43,67
2009-06-21,31,65
2009-06-28,32,69
2009-07-05,35,71
2009-07-12,31,69
2009-07-19,27,76
2009-07-26,27,80
2009-08-02,23,83
2009-08-09,23,84
2009-08-16,17,78
2009-08-23,21,100
2009-08-30,24,86
2009-09-06,18,87
2009-09-13,30,81
2009-09-20,29,85
2009-09-27,31,75
2009-10-04,31,78
2009-10-11,33,77
2009-10-18,38,82
2009-10-25,34,74
2009-11-01,40,64
2009-11-08,38,71
2009-11-15,41,72
2009-11-22,36,67
2009-11-29,32,64
2009-12-06,36,61
2009-12-13,37,58
2009-12-20,20,42
2009-12-27,21,65
