Category: All categories

Week,ebook: (Portugal)
2010-01-03,85
2010-01-10,80
2010-01-17,72
2010-01-24,67
2010-01-31,89
2010-02-07,60
2010-02-14,84
2010-02-21,85
2010-02-28,80
2010-03-07,65
2010-03-14,78
2010-03-21,56
2010-03-28,60
2010-04-04,86
2010-04-11,64
2010-04-18,82
2010-04-25,67
2010-05-02,69
2010-05-09,58
2010-05-16,58
2010-05-23,65
2010-05-30,64
2010-06-06,64
2010-06-13,52
2010-06-20,67
2010-06-27,45
2010-07-04,52
2010-07-11,54
2010-07-18,44
2010-07-25,87
2010-08-01,58
2010-08-08,72
2010-08-15,88
2010-08-22,52
2010-08-29,49
2010-09-05,61
2010-09-12,83
2010-09-19,84
2010-09-26,88
2010-10-03,78
2010-10-10,87
2010-10-17,66
2010-10-24,66
2010-10-31,85
2010-11-07,82
2010-11-14,74
2010-11-21,75
2010-11-28,56
2010-12-05,100
2010-12-12,92
2010-12-19,64
2010-12-26,80
