Category: All categories

Week,Amusement park: (Portugal)
2013-01-06,22
2013-01-13,29
2013-01-20,28
2013-01-27,21
2013-02-03,0
2013-02-10,38
2013-02-17,37
2013-02-24,20
2013-03-03,15
2013-03-10,28
2013-03-17,69
2013-03-24,37
2013-03-31,31
2013-04-07,50
2013-04-14,60
2013-04-21,44
2013-04-28,39
2013-05-05,37
2013-05-12,35
2013-05-19,51
2013-05-26,45
2013-06-02,81
2013-06-09,51
2013-06-16,27
2013-06-23,13
2013-06-30,53
2013-07-07,62
2013-07-14,84
2013-07-21,90
2013-07-28,100
2013-08-04,93
2013-08-11,28
2013-08-18,63
2013-08-25,42
2013-09-01,56
2013-09-08,40
2013-09-15,44
2013-09-22,36
2013-09-29,32
2013-10-06,18
2013-10-13,14
2013-10-20,41
2013-10-27,19
2013-11-03,25
2013-11-10,39
2013-11-17,16
2013-11-24,74
2013-12-01,68
2013-12-08,29
2013-12-15,38
2013-12-22,53
2013-12-29,60
