Category: All categories

Week,Television: (Portugal)
2013-01-06,61
2013-01-13,100
2013-01-20,45
2013-01-27,46
2013-02-03,34
2013-02-10,39
2013-02-17,38
2013-02-24,42
2013-03-03,37
2013-03-10,40
2013-03-17,35
2013-03-24,37
2013-03-31,35
2013-04-07,37
2013-04-14,34
2013-04-21,43
2013-04-28,39
2013-05-05,40
2013-05-12,32
2013-05-19,33
2013-05-26,26
2013-06-02,25
2013-06-09,28
2013-06-16,26
2013-06-23,26
2013-06-30,27
2013-07-07,33
2013-07-14,37
2013-07-21,39
2013-07-28,40
2013-08-04,37
2013-08-11,34
2013-08-18,47
2013-08-25,47
2013-09-01,32
2013-09-08,38
2013-09-15,40
2013-09-22,49
2013-09-29,39
2013-10-06,34
2013-10-13,32
2013-10-20,41
2013-10-27,43
2013-11-03,38
2013-11-10,33
2013-11-17,36
2013-11-24,37
2013-12-01,40
2013-12-08,36
2013-12-15,37
2013-12-22,36
2013-12-29,39
2014-01-05,36
2014-01-12,53
2014-01-19,37
2014-01-26,33
2014-02-02,39
2014-02-09,72
2014-02-16,36
2014-02-23,45
2014-03-02,37
2014-03-09,41
2014-03-16,45
2014-03-23,46
2014-03-30,38
2014-04-06,37
2014-04-13,44
2014-04-20,47
2014-04-27,32
2014-05-04,32
2014-05-11,27
2014-05-18,25
2014-05-25,26
2014-06-01,23
2014-06-08,32
2014-06-15,33
2014-06-22,33
2014-06-29,28
2014-07-06,24
2014-07-13,34
2014-07-20,45
2014-07-27,33
2014-08-03,27
2014-08-10,34
2014-08-17,42
2014-08-24,35
2014-08-31,43
2014-09-07,27
2014-09-14,35
2014-09-21,47
2014-09-28,34
2014-10-05,34
2014-10-12,30
2014-10-19,34
2014-10-26,35
2014-11-02,32
2014-11-09,28
2014-11-16,28
2014-11-23,32
2014-11-30,31
2014-12-07,29
2014-12-14,35
2014-12-21,30
2014-12-28,34
