Category: All categories

Week,Automotive industry: (Portugal)
2017-01-01,39
2017-01-08,43
2017-01-15,21
2017-01-22,53
2017-01-29,34
2017-02-05,0
2017-02-12,36
2017-02-19,70
2017-02-26,73
2017-03-05,63
2017-03-12,37
2017-03-19,19
2017-03-26,37
2017-04-02,0
2017-04-09,33
2017-04-16,35
2017-04-23,0
2017-04-30,32
2017-05-07,34
2017-05-14,51
2017-05-21,71
2017-05-28,48
2017-06-04,22
2017-06-11,86
2017-06-18,35
2017-06-25,53
2017-07-02,19
2017-07-09,0
2017-07-16,47
2017-07-23,42
2017-07-30,32
2017-08-06,27
2017-08-13,0
2017-08-20,58
2017-08-27,22
2017-09-03,23
2017-09-10,36
2017-09-17,42
2017-09-24,51
2017-10-01,43
2017-10-08,29
2017-10-15,52
2017-10-22,0
2017-10-29,31
2017-11-05,21
2017-11-12,21
2017-11-19,47
2017-11-26,47
2017-12-03,41
2017-12-10,0
2017-12-17,23
2017-12-24,40
2017-12-31,0
2018-01-07,37
2018-01-14,0
2018-01-21,97
2018-01-28,36
2018-02-04,35
2018-02-11,23
2018-02-18,34
2018-02-25,0
2018-03-04,27
2018-03-11,0
2018-03-18,28
2018-03-25,51
2018-04-01,61
2018-04-08,67
2018-04-15,40
2018-04-22,40
2018-04-29,59
2018-05-06,0
2018-05-13,43
2018-05-20,49
2018-05-27,25
2018-06-03,0
2018-06-10,44
2018-06-17,0
2018-06-24,0
2018-07-01,21
2018-07-08,38
2018-07-15,42
2018-07-22,0
2018-07-29,26
2018-08-05,20
2018-08-12,0
2018-08-19,92
2018-08-26,35
2018-09-02,50
2018-09-09,69
2018-09-16,25
2018-09-23,0
2018-09-30,22
2018-10-07,18
2018-10-14,52
2018-10-21,54
2018-10-28,25
2018-11-04,32
2018-11-11,55
2018-11-18,16
2018-11-25,100
2018-12-02,52
2018-12-09,0
2018-12-16,39
2018-12-23,0
2018-12-30,73
