Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2007-01-07,69,62
2007-01-14,74,56
2007-01-21,64,65
2007-01-28,74,67
2007-02-04,60,60
2007-02-11,54,45
2007-02-18,49,38
2007-02-25,57,70
2007-03-04,80,59
2007-03-11,63,67
2007-03-18,75,51
2007-03-25,54,58
2007-04-01,57,60
2007-04-08,77,57
2007-04-15,83,59
2007-04-22,79,48
2007-04-29,69,51
2007-05-06,100,47
2007-05-13,98,51
2007-05-20,93,56
2007-05-27,95,56
2007-06-03,95,54
2007-06-10,80,61
2007-06-17,53,43
2007-06-24,52,66
2007-07-01,46,53
2007-07-08,45,54
2007-07-15,44,55
2007-07-22,43,54
2007-07-29,41,60
2007-08-05,35,49
2007-08-12,42,55
2007-08-19,46,68
2007-08-26,36,75
2007-09-02,61,59
2007-09-09,42,54
2007-09-16,53,52
2007-09-23,71,64
2007-09-30,57,61
2007-10-07,71,62
2007-10-14,77,54
2007-10-21,73,50
2007-10-28,72,51
2007-11-04,84,54
2007-11-11,85,40
2007-11-18,76,49
2007-11-25,85,51
2007-12-02,76,55
2007-12-09,77,35
2007-12-16,45,25
2007-12-23,43,45
2007-12-30,52,46
