Category: All categories

Week,Clothing: (Portugal)
2018-01-07,85
2018-01-14,90
2018-01-21,86
2018-01-28,87
2018-02-04,84
2018-02-11,76
2018-02-18,74
2018-02-25,77
2018-03-04,81
2018-03-11,81
2018-03-18,76
2018-03-25,72
2018-04-01,80
2018-04-08,74
2018-04-15,76
2018-04-22,82
2018-04-29,77
2018-05-06,80
2018-05-13,75
2018-05-20,78
2018-05-27,84
2018-06-03,74
2018-06-10,77
2018-06-17,70
2018-06-24,72
2018-07-01,73
2018-07-08,73
2018-07-15,75
2018-07-22,73
2018-07-29,65
2018-08-05,69
2018-08-12,77
2018-08-19,72
2018-08-26,74
2018-09-02,74
2018-09-09,76
2018-09-16,74
2018-09-23,73
2018-09-30,79
2018-10-07,78
2018-10-14,86
2018-10-21,81
2018-10-28,98
2018-11-04,97
2018-11-11,100
2018-11-18,100
2018-11-25,95
2018-12-02,99
2018-12-09,87
2018-12-16,84
2018-12-23,92
2018-12-30,87
