Category: All categories

Week,Television: (Portugal)
2008-01-06,47
2008-01-13,52
2008-01-20,52
2008-01-27,55
2008-02-03,58
2008-02-10,51
2008-02-17,56
2008-02-24,50
2008-03-02,64
2008-03-09,52
2008-03-16,55
2008-03-23,52
2008-03-30,50
2008-04-06,51
2008-04-13,53
2008-04-20,56
2008-04-27,59
2008-05-04,54
2008-05-11,60
2008-05-18,65
2008-05-25,53
2008-06-01,54
2008-06-08,90
2008-06-15,53
2008-06-22,47
2008-06-29,45
2008-07-06,51
2008-07-13,50
2008-07-20,52
2008-07-27,50
2008-08-03,55
2008-08-10,58
2008-08-17,62
2008-08-24,64
2008-08-31,56
2008-09-07,53
2008-09-14,63
2008-09-21,64
2008-09-28,88
2008-10-05,64
2008-10-12,57
2008-10-19,65
2008-10-26,57
2008-11-02,79
2008-11-09,53
2008-11-16,57
2008-11-23,71
2008-11-30,62
2008-12-07,67
2008-12-14,67
2008-12-21,71
2008-12-28,68
2009-01-04,66
2009-01-11,74
2009-01-18,66
2009-01-25,57
2009-02-01,61
2009-02-08,66
2009-02-15,79
2009-02-22,86
2009-03-01,68
2009-03-08,79
2009-03-15,60
2009-03-22,59
2009-03-29,56
2009-04-05,80
2009-04-12,69
2009-04-19,72
2009-04-26,72
2009-05-03,69
2009-05-10,62
2009-05-17,57
2009-05-24,61
2009-05-31,55
2009-06-07,57
2009-06-14,58
2009-06-21,60
2009-06-28,59
2009-07-05,57
2009-07-12,77
2009-07-19,83
2009-07-26,92
2009-08-02,69
2009-08-09,67
2009-08-16,100
2009-08-23,86
2009-08-30,73
2009-09-06,64
2009-09-13,82
2009-09-20,82
2009-09-27,72
2009-10-04,78
2009-10-11,61
2009-10-18,71
2009-10-25,88
2009-11-01,73
2009-11-08,76
2009-11-15,64
2009-11-22,85
2009-11-29,86
2009-12-06,78
2009-12-13,65
2009-12-20,95
2009-12-27,69
