Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2013-01-06,82,2
2013-01-13,82,2
2013-01-20,89,2
2013-01-27,78,2
2013-02-03,79,2
2013-02-10,63,4
2013-02-17,79,3
2013-02-24,84,2
2013-03-03,90,2
2013-03-10,71,3
2013-03-17,62,2
2013-03-24,70,4
2013-03-31,76,3
2013-04-07,90,1
2013-04-14,80,2
2013-04-21,74,2
2013-04-28,83,1
2013-05-05,81,2
2013-05-12,89,2
2013-05-19,97,1
2013-05-26,100,2
2013-06-02,83,3
2013-06-09,64,3
2013-06-16,62,1
2013-06-23,56,0
2013-06-30,47,3
2013-07-07,49,2
2013-07-14,54,0
2013-07-21,52,1
2013-07-28,40,1
2013-08-04,39,3
2013-08-11,34,3
2013-08-18,43,1
2013-08-25,45,3
2013-09-01,46,4
2013-09-08,53,2
2013-09-15,54,3
2013-09-22,58,1
2013-09-29,66,1
2013-10-06,68,1
2013-10-13,63,3
2013-10-20,69,2
2013-10-27,70,4
2013-11-03,73,3
2013-11-10,72,2
2013-11-17,75,0
2013-11-24,88,1
2013-12-01,98,1
2013-12-08,90,3
2013-12-15,70,1
2013-12-22,57,3
2013-12-29,66,3
