Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2017-01-01,62,35
2017-01-08,81,33
2017-01-15,92,34
2017-01-22,79,30
2017-01-29,78,23
2017-02-05,77,29
2017-02-12,76,27
2017-02-19,77,30
2017-02-26,77,31
2017-03-05,85,30
2017-03-12,88,27
2017-03-19,80,37
2017-03-26,88,25
2017-04-02,68,30
2017-04-09,67,31
2017-04-16,66,25
2017-04-23,77,31
2017-04-30,82,28
2017-05-07,85,26
2017-05-14,87,33
2017-05-21,86,24
2017-05-28,100,26
2017-06-04,88,29
2017-06-11,75,31
2017-06-18,58,25
2017-06-25,57,24
2017-07-02,65,30
2017-07-09,53,35
2017-07-16,61,38
2017-07-23,48,42
2017-07-30,53,47
2017-08-06,47,51
2017-08-13,47,52
2017-08-20,50,37
2017-08-27,52,39
2017-09-03,53,31
2017-09-10,54,26
2017-09-17,60,26
2017-09-24,63,22
2017-10-01,61,29
2017-10-08,67,25
2017-10-15,73,25
2017-10-22,66,28
2017-10-29,62,45
2017-11-05,69,33
2017-11-12,85,23
2017-11-19,68,35
2017-11-26,72,30
2017-12-03,64,34
2017-12-10,74,30
2017-12-17,57,28
2017-12-24,64,37
2017-12-31,77,36
