Category: All categories

Week,Energy: (Portugal),Health care: (Portugal)
2018-01-07,82,6
2018-01-14,86,6
2018-01-21,85,5
2018-01-28,79,6
2018-02-04,72,5
2018-02-11,71,6
2018-02-18,82,6
2018-02-25,78,9
2018-03-04,82,8
2018-03-11,95,5
2018-03-18,83,6
2018-03-25,85,5
2018-04-01,82,7
2018-04-08,79,8
2018-04-15,90,3
2018-04-22,85,7
2018-04-29,89,6
2018-05-06,79,7
2018-05-13,80,5
2018-05-20,92,7
2018-05-27,77,8
2018-06-03,100,4
2018-06-10,82,5
2018-06-17,67,6
2018-06-24,59,9
2018-07-01,58,5
2018-07-08,55,5
2018-07-15,60,8
2018-07-22,59,6
2018-07-29,55,5
2018-08-05,51,10
2018-08-12,53,0
2018-08-19,55,5
2018-08-26,54,7
2018-09-02,59,7
2018-09-09,56,8
2018-09-16,59,2
2018-09-23,76,5
2018-09-30,69,6
2018-10-07,88,7
2018-10-14,74,11
2018-10-21,76,5
2018-10-28,68,6
2018-11-04,75,7
2018-11-11,76,3
2018-11-18,79,7
2018-11-25,81,6
2018-12-02,81,6
2018-12-09,66,5
2018-12-16,63,6
2018-12-23,49,5
2018-12-30,65,5
