Category: All categories

Week,Fur: (Portugal)
2016-01-03,30
2016-01-10,19
2016-01-17,27
2016-01-24,35
2016-01-31,13
2016-02-07,33
2016-02-14,40
2016-02-21,36
2016-02-28,29
2016-03-06,34
2016-03-13,32
2016-03-20,34
2016-03-27,32
2016-04-03,37
2016-04-10,28
2016-04-17,21
2016-04-24,19
2016-05-01,16
2016-05-08,30
2016-05-15,27
2016-05-22,29
2016-05-29,41
2016-06-05,26
2016-06-12,36
2016-06-19,28
2016-06-26,21
2016-07-03,20
2016-07-10,29
2016-07-17,15
2016-07-24,29
2016-07-31,29
2016-08-07,25
2016-08-14,34
2016-08-21,46
2016-08-28,32
2016-09-04,30
2016-09-11,38
2016-09-18,26
2016-09-25,25
2016-10-02,12
2016-10-09,23
2016-10-16,27
2016-10-23,24
2016-10-30,23
2016-11-06,45
2016-11-13,31
2016-11-20,16
2016-11-27,44
2016-12-04,92
2016-12-11,100
2016-12-18,82
2016-12-25,74
