Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2018-01-07,55,99
2018-01-14,58,90
2018-01-21,57,100
2018-01-28,53,97
2018-02-04,49,84
2018-02-11,48,92
2018-02-18,55,92
2018-02-25,53,88
2018-03-04,55,89
2018-03-11,64,90
2018-03-18,56,91
2018-03-25,57,84
2018-04-01,55,92
2018-04-08,54,87
2018-04-15,61,86
2018-04-22,58,88
2018-04-29,60,86
2018-05-06,53,78
2018-05-13,54,81
2018-05-20,62,81
2018-05-27,52,76
2018-06-03,68,79
2018-06-10,56,76
2018-06-17,45,69
2018-06-24,40,74
2018-07-01,39,77
2018-07-08,37,75
2018-07-15,41,81
2018-07-22,40,81
2018-07-29,37,76
2018-08-05,34,83
2018-08-12,36,81
2018-08-19,37,84
2018-08-26,36,87
2018-09-02,40,87
2018-09-09,38,77
2018-09-16,40,83
2018-09-23,51,85
2018-09-30,46,88
2018-10-07,59,88
2018-10-14,50,91
2018-10-21,51,83
2018-10-28,46,88
2018-11-04,50,85
2018-11-11,51,87
2018-11-18,53,90
2018-11-25,54,85
2018-12-02,54,83
2018-12-09,45,78
2018-12-16,42,70
2018-12-23,33,73
2018-12-30,44,83
