Category: All categories

Week,Energy: (Portugal),Wi-Fi: (Portugal)
2017-01-01,62,59
2017-01-08,81,63
2017-01-15,92,59
2017-01-22,79,59
2017-01-29,78,57
2017-02-05,77,62
2017-02-12,76,59
2017-02-19,77,60
2017-02-26,77,66
2017-03-05,85,58
2017-03-12,88,58
2017-03-19,80,54
2017-03-26,88,58
2017-04-02,68,64
2017-04-09,67,59
2017-04-16,66,58
2017-04-23,77,55
2017-04-30,82,68
2017-05-07,85,63
2017-05-14,87,61
2017-05-21,86,53
2017-05-28,100,54
2017-06-04,88,53
2017-06-11,75,62
2017-06-18,58,60
2017-06-25,57,55
2017-07-02,65,67
2017-07-09,53,59
2017-07-16,61,75
2017-07-23,48,83
2017-07-30,53,70
2017-08-06,47,64
2017-08-13,47,71
2017-08-20,50,74
2017-08-27,52,67
2017-09-03,53,60
2017-09-10,54,64
2017-09-17,60,75
2017-09-24,63,64
2017-10-01,61,65
2017-10-08,67,65
2017-10-15,73,63
2017-10-22,66,62
2017-10-29,62,60
2017-11-05,69,62
2017-11-12,85,60
2017-11-19,68,64
2017-11-26,72,59
2017-12-03,64,57
2017-12-10,74,62
2017-12-17,57,62
2017-12-24,64,76
2017-12-31,77,61
