Category: All categories

Week,Clothing: (Portugal)
2016-01-03,98
2016-01-10,97
2016-01-17,89
2016-01-24,93
2016-01-31,98
2016-02-07,90
2016-02-14,80
2016-02-21,88
2016-02-28,80
2016-03-06,85
2016-03-13,77
2016-03-20,85
2016-03-27,85
2016-04-03,85
2016-04-10,96
2016-04-17,82
2016-04-24,85
2016-05-01,86
2016-05-08,83
2016-05-15,90
2016-05-22,90
2016-05-29,85
2016-06-05,90
2016-06-12,80
2016-06-19,78
2016-06-26,79
2016-07-03,81
2016-07-10,73
2016-07-17,83
2016-07-24,73
2016-07-31,84
2016-08-07,66
2016-08-14,75
2016-08-21,77
2016-08-28,87
2016-09-04,84
2016-09-11,89
2016-09-18,83
2016-09-25,88
2016-10-02,93
2016-10-09,91
2016-10-16,95
2016-10-23,96
2016-10-30,92
2016-11-06,90
2016-11-13,91
2016-11-20,98
2016-11-27,97
2016-12-04,100
2016-12-11,95
2016-12-18,75
2016-12-25,93
