Category: All categories

Week,Furniture: (Portugal)
2011-01-02,81
2011-01-09,79
2011-01-16,88
2011-01-23,84
2011-01-30,89
2011-02-06,76
2011-02-13,75
2011-02-20,79
2011-02-27,81
2011-03-06,83
2011-03-13,74
2011-03-20,80
2011-03-27,83
2011-04-03,68
2011-04-10,62
2011-04-17,69
2011-04-24,67
2011-05-01,73
2011-05-08,64
2011-05-15,65
2011-05-22,77
2011-05-29,68
2011-06-05,71
2011-06-12,70
2011-06-19,66
2011-06-26,60
2011-07-03,79
2011-07-10,73
2011-07-17,76
2011-07-24,74
2011-07-31,81
2011-08-07,83
2011-08-14,90
2011-08-21,98
2011-08-28,100
2011-09-04,76
2011-09-11,74
2011-09-18,75
2011-09-25,87
2011-10-02,80
2011-10-09,82
2011-10-16,76
2011-10-23,90
2011-10-30,71
2011-11-06,77
2011-11-13,82
2011-11-20,83
2011-11-27,76
2011-12-04,76
2011-12-11,66
2011-12-18,46
2011-12-25,59
2012-01-01,80
2012-01-08,84
2012-01-15,74
2012-01-22,79
2012-01-29,79
2012-02-05,74
2012-02-12,70
2012-02-19,93
2012-02-26,77
2012-03-04,75
2012-03-11,75
2012-03-18,81
2012-03-25,66
2012-04-01,60
2012-04-08,75
2012-04-15,82
2012-04-22,76
2012-04-29,74
2012-05-06,84
2012-05-13,69
2012-05-20,76
2012-05-27,76
2012-06-03,63
2012-06-10,71
2012-06-17,66
2012-06-24,67
2012-07-01,80
2012-07-08,67
2012-07-15,81
2012-07-22,69
2012-07-29,74
2012-08-05,77
2012-08-12,82
2012-08-19,89
2012-08-26,89
2012-09-02,82
2012-09-09,87
2012-09-16,82
2012-09-23,77
2012-09-30,81
2012-10-07,73
2012-10-14,75
2012-10-21,80
2012-10-28,77
2012-11-04,81
2012-11-11,75
2012-11-18,70
2012-11-25,73
2012-12-02,58
2012-12-09,53
2012-12-16,54
2012-12-23,52
2012-12-30,69
