Category: All categories

Week,Energy: (Portugal),Health care: (Portugal)
2013-01-06,85,7
2013-01-13,81,6
2013-01-20,88,5
2013-01-27,79,6
2013-02-03,76,6
2013-02-10,62,6
2013-02-17,78,9
2013-02-24,84,7
2013-03-03,88,6
2013-03-10,73,7
2013-03-17,60,3
2013-03-24,70,0
2013-03-31,75,7
2013-04-07,88,2
2013-04-14,82,7
2013-04-21,76,4
2013-04-28,83,5
2013-05-05,79,6
2013-05-12,89,3
2013-05-19,97,3
2013-05-26,99,7
2013-06-02,81,2
2013-06-09,63,6
2013-06-16,64,5
2013-06-23,55,4
2013-06-30,47,6
2013-07-07,49,4
2013-07-14,55,5
2013-07-21,48,5
2013-07-28,41,5
2013-08-04,40,3
2013-08-11,34,5
2013-08-18,43,3
2013-08-25,43,3
2013-09-01,46,4
2013-09-08,52,6
2013-09-15,54,4
2013-09-22,59,5
2013-09-29,65,5
2013-10-06,65,5
2013-10-13,65,9
2013-10-20,68,7
2013-10-27,71,9
2013-11-03,75,6
2013-11-10,72,5
2013-11-17,75,5
2013-11-24,88,6
2013-12-01,100,7
2013-12-08,88,5
2013-12-15,67,5
2013-12-22,56,2
2013-12-29,65,5
