Category: All categories

Week,Mercedes-Benz: (Portugal)
2017-01-01,87
2017-01-08,79
2017-01-15,76
2017-01-22,83
2017-01-29,84
2017-02-05,76
2017-02-12,85
2017-02-19,84
2017-02-26,83
2017-03-05,70
2017-03-12,71
2017-03-19,74
2017-03-26,80
2017-04-02,86
2017-04-09,86
2017-04-16,75
2017-04-23,80
2017-04-30,74
2017-05-07,70
2017-05-14,68
2017-05-21,80
2017-05-28,64
2017-06-04,64
2017-06-11,85
2017-06-18,73
2017-06-25,78
2017-07-02,67
2017-07-09,74
2017-07-16,85
2017-07-23,82
2017-07-30,96
2017-08-06,84
2017-08-13,100
2017-08-20,91
2017-08-27,75
2017-09-03,70
2017-09-10,76
2017-09-17,83
2017-09-24,83
2017-10-01,79
2017-10-08,75
2017-10-15,82
2017-10-22,74
2017-10-29,87
2017-11-05,79
2017-11-12,82
2017-11-19,59
2017-11-26,66
2017-12-03,77
2017-12-10,66
2017-12-17,89
2017-12-24,86
2017-12-31,85
