Category: All categories

Week,Natural gas: (Portugal)
2013-01-06,86
2013-01-13,81
2013-01-20,79
2013-01-27,75
2013-02-03,89
2013-02-10,66
2013-02-17,64
2013-02-24,78
2013-03-03,67
2013-03-10,48
2013-03-17,51
2013-03-24,62
2013-03-31,63
2013-04-07,76
2013-04-14,70
2013-04-21,45
2013-04-28,56
2013-05-05,64
2013-05-12,59
2013-05-19,73
2013-05-26,69
2013-06-02,61
2013-06-09,64
2013-06-16,55
2013-06-23,53
2013-06-30,47
2013-07-07,48
2013-07-14,53
2013-07-21,43
2013-07-28,54
2013-08-04,49
2013-08-11,43
2013-08-18,55
2013-08-25,48
2013-09-01,44
2013-09-08,44
2013-09-15,50
2013-09-22,67
2013-09-29,45
2013-10-06,52
2013-10-13,47
2013-10-20,56
2013-10-27,63
2013-11-03,53
2013-11-10,63
2013-11-17,99
2013-11-24,99
2013-12-01,100
2013-12-08,89
2013-12-15,77
2013-12-22,55
2013-12-29,65
