Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2008-01-06,71,46
2008-01-13,66,39
2008-01-20,61,47
2008-01-27,62,62
2008-02-03,54,52
2008-02-10,61,44
2008-02-17,73,50
2008-02-24,73,48
2008-03-02,72,50
2008-03-09,60,50
2008-03-16,53,57
2008-03-23,47,50
2008-03-30,74,46
2008-04-06,68,49
2008-04-13,68,45
2008-04-20,82,51
2008-04-27,66,54
2008-05-04,89,53
2008-05-11,82,46
2008-05-18,90,38
2008-05-25,100,45
2008-06-01,95,38
2008-06-08,76,39
2008-06-15,69,49
2008-06-22,55,37
2008-06-29,50,40
2008-07-06,51,48
2008-07-13,60,44
2008-07-20,35,46
2008-07-27,31,40
2008-08-03,34,44
2008-08-10,28,44
2008-08-17,38,44
2008-08-24,32,46
2008-08-31,36,37
2008-09-07,39,45
2008-09-14,52,40
2008-09-21,59,47
2008-09-28,61,49
2008-10-05,66,40
2008-10-12,60,42
2008-10-19,58,52
2008-10-26,59,41
2008-11-02,53,52
2008-11-09,65,42
2008-11-16,72,42
2008-11-23,61,44
2008-11-30,57,42
2008-12-07,54,38
2008-12-14,63,40
2008-12-21,40,46
2008-12-28,51,42
