Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2016-01-03,84,66
2016-01-10,73,63
2016-01-17,78,72
2016-01-24,73,64
2016-01-31,70,63
2016-02-07,59,63
2016-02-14,72,58
2016-02-21,76,73
2016-02-28,81,68
2016-03-06,75,56
2016-03-13,69,59
2016-03-20,58,63
2016-03-27,61,64
2016-04-03,71,69
2016-04-10,79,61
2016-04-17,77,53
2016-04-24,77,55
2016-05-01,81,50
2016-05-08,86,59
2016-05-15,88,55
2016-05-22,84,55
2016-05-29,86,46
2016-06-05,68,54
2016-06-12,73,54
2016-06-19,50,46
2016-06-26,55,40
2016-07-03,52,41
2016-07-10,50,40
2016-07-17,53,51
2016-07-24,53,45
2016-07-31,44,47
2016-08-07,40,41
2016-08-14,40,50
2016-08-21,48,57
2016-08-28,57,52
2016-09-04,52,52
2016-09-11,53,54
2016-09-18,62,61
2016-09-25,66,61
2016-10-02,66,62
2016-10-09,65,77
2016-10-16,64,75
2016-10-23,68,73
2016-10-30,63,77
2016-11-06,77,71
2016-11-13,73,83
2016-11-20,70,78
2016-11-27,68,72
2016-12-04,61,68
2016-12-11,56,72
2016-12-18,45,100
2016-12-25,51,75
