Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2016-01-03,81,82
2016-01-10,71,75
2016-01-17,76,76
2016-01-24,70,74
2016-01-31,66,73
2016-02-07,58,83
2016-02-14,69,77
2016-02-21,75,75
2016-02-28,77,74
2016-03-06,73,78
2016-03-13,67,75
2016-03-20,57,75
2016-03-27,57,81
2016-04-03,69,76
2016-04-10,75,81
2016-04-17,74,80
2016-04-24,74,82
2016-05-01,80,74
2016-05-08,82,83
2016-05-15,86,71
2016-05-22,80,75
2016-05-29,83,68
2016-06-05,65,68
2016-06-12,71,71
2016-06-19,50,65
2016-06-26,53,59
2016-07-03,50,62
2016-07-10,49,62
2016-07-17,50,65
2016-07-24,49,64
2016-07-31,40,64
2016-08-07,39,61
2016-08-14,38,73
2016-08-21,45,76
2016-08-28,57,80
2016-09-04,50,77
2016-09-11,51,75
2016-09-18,58,81
2016-09-25,64,78
2016-10-02,63,80
2016-10-09,62,76
2016-10-16,64,77
2016-10-23,66,74
2016-10-30,60,78
2016-11-06,77,74
2016-11-13,70,73
2016-11-20,68,78
2016-11-27,66,78
2016-12-04,58,100
2016-12-11,54,88
2016-12-18,41,67
2016-12-25,49,86
