Category: All categories

Week,Renovation: (Portugal)
2009-01-04,49
2009-01-11,41
2009-01-18,59
2009-01-25,23
2009-02-01,0
2009-02-08,33
2009-02-15,71
2009-02-22,0
2009-03-01,0
2009-03-08,99
2009-03-15,0
2009-03-22,41
2009-03-29,32
2009-04-05,0
2009-04-12,0
2009-04-19,77
2009-04-26,48
2009-05-03,26
2009-05-10,0
2009-05-17,51
2009-05-24,32
2009-05-31,53
2009-06-07,47
2009-06-14,0
2009-06-21,0
2009-06-28,0
2009-07-05,49
2009-07-12,55
2009-07-19,25
2009-07-26,46
2009-08-02,0
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,23
2009-09-06,21
2009-09-13,67
2009-09-20,39
2009-09-27,45
2009-10-04,46
2009-10-11,0
2009-10-18,23
2009-10-25,26
2009-11-01,28
2009-11-08,0
2009-11-15,30
2009-11-22,36
2009-11-29,74
2009-12-06,0
2009-12-13,35
2009-12-20,34
2009-12-27,0
2010-01-03,62
2010-01-10,35
2010-01-17,22
2010-01-24,42
2010-01-31,42
2010-02-07,53
2010-02-14,0
2010-02-21,63
2010-02-28,79
2010-03-07,0
2010-03-14,0
2010-03-21,38
2010-03-28,40
2010-04-04,0
2010-04-11,44
2010-04-18,17
2010-04-25,0
2010-05-02,18
2010-05-09,0
2010-05-16,46
2010-05-23,84
2010-05-30,40
2010-06-06,50
2010-06-13,25
2010-06-20,100
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,40
2010-07-25,67
2010-08-01,0
2010-08-08,47
2010-08-15,24
2010-08-22,0
2010-08-29,22
2010-09-05,58
2010-09-12,47
2010-09-19,0
2010-09-26,20
2010-10-03,47
2010-10-10,64
2010-10-17,0
2010-10-24,37
2010-10-31,58
2010-11-07,38
2010-11-14,62
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
