Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2008-01-06,70,43
2008-01-13,69,56
2008-01-20,61,55
2008-01-27,63,45
2008-02-03,54,41
2008-02-10,61,42
2008-02-17,73,45
2008-02-24,73,45
2008-03-02,69,46
2008-03-09,63,45
2008-03-16,52,42
2008-03-23,52,50
2008-03-30,74,35
2008-04-06,66,45
2008-04-13,69,44
2008-04-20,72,39
2008-04-27,67,36
2008-05-04,91,35
2008-05-11,80,44
2008-05-18,88,40
2008-05-25,100,45
2008-06-01,94,39
2008-06-08,75,38
2008-06-15,69,31
2008-06-22,60,36
2008-06-29,53,33
2008-07-06,50,37
2008-07-13,56,39
2008-07-20,34,44
2008-07-27,30,41
2008-08-03,38,43
2008-08-10,28,33
2008-08-17,37,45
2008-08-24,34,51
2008-08-31,36,43
2008-09-07,41,42
2008-09-14,53,40
2008-09-21,59,39
2008-09-28,60,33
2008-10-05,66,42
2008-10-12,57,40
2008-10-19,55,40
2008-10-26,59,39
2008-11-02,54,38
2008-11-09,63,37
2008-11-16,73,35
2008-11-23,61,42
2008-11-30,57,32
2008-12-07,54,27
2008-12-14,61,28
2008-12-21,40,27
2008-12-28,47,26
