Category: All categories

Week,Mercedes-Benz: (Portugal)
2018-01-07,57
2018-01-14,73
2018-01-21,73
2018-01-28,65
2018-02-04,52
2018-02-11,67
2018-02-18,72
2018-02-25,66
2018-03-04,71
2018-03-11,59
2018-03-18,65
2018-03-25,79
2018-04-01,62
2018-04-08,60
2018-04-15,62
2018-04-22,63
2018-04-29,58
2018-05-06,75
2018-05-13,70
2018-05-20,59
2018-05-27,62
2018-06-03,79
2018-06-10,58
2018-06-17,74
2018-06-24,63
2018-07-01,63
2018-07-08,66
2018-07-15,70
2018-07-22,71
2018-07-29,78
2018-08-05,80
2018-08-12,100
2018-08-19,78
2018-08-26,77
2018-09-02,67
2018-09-09,74
2018-09-16,61
2018-09-23,55
2018-09-30,76
2018-10-07,63
2018-10-14,80
2018-10-21,58
2018-10-28,73
2018-11-04,76
2018-11-11,53
2018-11-18,48
2018-11-25,65
2018-12-02,86
2018-12-09,62
2018-12-16,74
2018-12-23,78
2018-12-30,65
