Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2006-01-01,64,12
2006-01-08,66,12
2006-01-15,61,18
2006-01-22,51,4
2006-01-29,59,14
2006-02-05,64,4
2006-02-12,47,4
2006-02-19,66,5
2006-02-26,52,11
2006-03-05,65,12
2006-03-12,61,7
2006-03-19,61,10
2006-03-26,49,13
2006-04-02,44,9
2006-04-09,54,14
2006-04-16,65,6
2006-04-23,61,7
2006-04-30,76,4
2006-05-07,91,18
2006-05-14,91,9
2006-05-21,99,5
2006-05-28,73,3
2006-06-04,100,11
2006-06-11,65,10
2006-06-18,42,3
2006-06-25,34,0
2006-07-02,31,10
2006-07-09,35,7
2006-07-16,30,15
2006-07-23,37,13
2006-07-30,18,15
2006-08-06,32,5
2006-08-13,28,15
2006-08-20,22,6
2006-08-27,37,4
2006-09-03,27,10
2006-09-10,16,4
2006-09-17,46,8
2006-09-24,53,12
2006-10-01,64,5
2006-10-08,57,14
2006-10-15,55,9
2006-10-22,63,7
2006-10-29,52,3
2006-11-05,62,9
2006-11-12,48,10
2006-11-19,60,11
2006-11-26,52,14
2006-12-03,54,5
2006-12-10,52,10
2006-12-17,34,6
2006-12-24,27,14
2006-12-31,41,14
