Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2016-01-03,53,89
2016-01-10,46,85
2016-01-17,49,82
2016-01-24,46,88
2016-01-31,44,82
2016-02-07,37,88
2016-02-14,45,87
2016-02-21,48,88
2016-02-28,51,78
2016-03-06,47,87
2016-03-13,44,87
2016-03-20,37,93
2016-03-27,38,83
2016-04-03,45,88
2016-04-10,50,90
2016-04-17,49,84
2016-04-24,49,79
2016-05-01,51,81
2016-05-08,54,83
2016-05-15,56,80
2016-05-22,53,87
2016-05-29,55,77
2016-06-05,43,81
2016-06-12,46,80
2016-06-19,32,76
2016-06-26,35,79
2016-07-03,33,87
2016-07-10,32,74
2016-07-17,34,85
2016-07-24,34,81
2016-07-31,28,85
2016-08-07,25,87
2016-08-14,25,90
2016-08-21,30,90
2016-08-28,36,85
2016-09-04,33,86
2016-09-11,34,88
2016-09-18,39,93
2016-09-25,42,96
2016-10-02,42,92
2016-10-09,41,93
2016-10-16,41,93
2016-10-23,43,96
2016-10-30,40,93
2016-11-06,49,92
2016-11-13,46,100
2016-11-20,44,93
2016-11-27,43,68
2016-12-04,38,13
2016-12-11,35,13
2016-12-18,28,9
2016-12-25,33,16
