Category: All categories

Week,Furniture: (Portugal)
2009-01-04,68
2009-01-11,75
2009-01-18,69
2009-01-25,72
2009-02-01,77
2009-02-08,74
2009-02-15,84
2009-02-22,87
2009-03-01,72
2009-03-08,81
2009-03-15,84
2009-03-22,61
2009-03-29,66
2009-04-05,73
2009-04-12,85
2009-04-19,73
2009-04-26,77
2009-05-03,77
2009-05-10,69
2009-05-17,70
2009-05-24,63
2009-05-31,73
2009-06-07,58
2009-06-14,69
2009-06-21,63
2009-06-28,72
2009-07-05,77
2009-07-12,65
2009-07-19,67
2009-07-26,100
2009-08-02,68
2009-08-09,75
2009-08-16,89
2009-08-23,87
2009-08-30,80
2009-09-06,64
2009-09-13,77
2009-09-20,71
2009-09-27,85
2009-10-04,67
2009-10-11,83
2009-10-18,86
2009-10-25,84
2009-11-01,71
2009-11-08,76
2009-11-15,77
2009-11-22,71
2009-11-29,67
2009-12-06,77
2009-12-13,59
2009-12-20,48
2009-12-27,66
