Category: All categories

Week,Automotive industry: (Portugal)
2017-01-01,28
2017-01-08,50
2017-01-15,35
2017-01-22,43
2017-01-29,0
2017-02-05,0
2017-02-12,33
2017-02-19,52
2017-02-26,65
2017-03-05,82
2017-03-12,39
2017-03-19,63
2017-03-26,39
2017-04-02,40
2017-04-09,47
2017-04-16,51
2017-04-23,0
2017-04-30,26
2017-05-07,0
2017-05-14,21
2017-05-21,100
2017-05-28,27
2017-06-04,0
2017-06-11,74
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,21
2017-07-23,0
2017-07-30,19
2017-08-06,0
2017-08-13,0
2017-08-20,40
2017-08-27,36
2017-09-03,52
2017-09-10,45
2017-09-17,39
2017-09-24,88
2017-10-01,29
2017-10-08,28
2017-10-15,57
2017-10-22,48
2017-10-29,43
2017-11-05,62
2017-11-12,59
2017-11-19,55
2017-11-26,63
2017-12-03,72
2017-12-10,50
2017-12-17,35
2017-12-24,44
2017-12-31,56
