Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2015-01-04,85,60
2015-01-11,97,72
2015-01-18,90,77
2015-01-25,82,74
2015-02-01,73,78
2015-02-08,74,69
2015-02-15,67,61
2015-02-22,90,59
2015-03-01,81,61
2015-03-08,81,55
2015-03-15,82,56
2015-03-22,67,62
2015-03-29,56,56
2015-04-05,71,61
2015-04-12,79,64
2015-04-19,75,59
2015-04-26,71,58
2015-05-03,75,58
2015-05-10,81,50
2015-05-17,75,50
2015-05-24,82,55
2015-05-31,69,52
2015-06-07,72,69
2015-06-14,63,69
2015-06-21,55,66
2015-06-28,55,66
2015-07-05,49,61
2015-07-12,51,51
2015-07-19,47,57
2015-07-26,54,59
2015-08-02,40,58
2015-08-09,42,58
2015-08-16,44,59
2015-08-23,43,60
2015-08-30,53,58
2015-09-06,53,64
2015-09-13,49,65
2015-09-20,56,60
2015-09-27,63,55
2015-10-04,60,58
2015-10-11,65,59
2015-10-18,62,59
2015-10-25,67,78
2015-11-01,67,100
2015-11-08,60,98
2015-11-15,60,91
2015-11-22,69,73
2015-11-29,69,57
2015-12-06,62,49
2015-12-13,64,53
2015-12-20,38,61
2015-12-27,52,60
