Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2008-01-06,19,52
2008-01-13,18,58
2008-01-20,16,58
2008-01-27,16,61
2008-02-03,14,64
2008-02-10,16,57
2008-02-17,19,62
2008-02-24,19,56
2008-03-02,19,71
2008-03-09,16,58
2008-03-16,14,61
2008-03-23,13,58
2008-03-30,20,56
2008-04-06,18,57
2008-04-13,18,59
2008-04-20,22,62
2008-04-27,18,65
2008-05-04,23,60
2008-05-11,22,67
2008-05-18,24,72
2008-05-25,26,59
2008-06-01,25,60
2008-06-08,20,100
2008-06-15,18,59
2008-06-22,15,52
2008-06-29,13,50
2008-07-06,14,57
2008-07-13,16,56
2008-07-20,9,57
2008-07-27,8,55
2008-08-03,9,61
2008-08-10,7,65
2008-08-17,10,69
2008-08-24,9,71
2008-08-31,9,62
2008-09-07,10,59
2008-09-14,14,70
2008-09-21,16,71
2008-09-28,16,97
2008-10-05,18,71
2008-10-12,16,63
2008-10-19,15,72
2008-10-26,16,63
2008-11-02,14,88
2008-11-09,17,59
2008-11-16,19,63
2008-11-23,16,79
2008-11-30,15,69
2008-12-07,14,74
2008-12-14,17,74
2008-12-21,11,79
2008-12-28,13,75
