Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2018-01-07,22,66
2018-01-14,24,67
2018-01-21,23,66
2018-01-28,21,70
2018-02-04,20,62
2018-02-11,19,71
2018-02-18,22,61
2018-02-25,22,65
2018-03-04,22,69
2018-03-11,26,69
2018-03-18,23,71
2018-03-25,23,81
2018-04-01,22,70
2018-04-08,21,61
2018-04-15,24,59
2018-04-22,23,62
2018-04-29,24,65
2018-05-06,21,60
2018-05-13,22,60
2018-05-20,25,62
2018-05-27,21,66
2018-06-03,27,69
2018-06-10,22,71
2018-06-17,18,65
2018-06-24,16,77
2018-07-01,16,65
2018-07-08,15,65
2018-07-15,16,68
2018-07-22,16,68
2018-07-29,15,65
2018-08-05,14,69
2018-08-12,14,73
2018-08-19,15,72
2018-08-26,15,78
2018-09-02,16,73
2018-09-09,15,70
2018-09-16,16,61
2018-09-23,20,66
2018-09-30,18,69
2018-10-07,24,66
2018-10-14,20,62
2018-10-21,20,61
2018-10-28,18,69
2018-11-04,20,63
2018-11-11,21,73
2018-11-18,21,81
2018-11-25,22,73
2018-12-02,22,75
2018-12-09,18,77
2018-12-16,17,90
2018-12-23,13,100
2018-12-30,18,72
