Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2017-01-01,22,85
2017-01-08,29,82
2017-01-15,33,92
2017-01-22,28,86
2017-01-29,28,91
2017-02-05,28,86
2017-02-12,28,87
2017-02-19,28,96
2017-02-26,28,87
2017-03-05,31,76
2017-03-12,32,81
2017-03-19,29,78
2017-03-26,32,79
2017-04-02,25,81
2017-04-09,24,80
2017-04-16,24,79
2017-04-23,28,82
2017-04-30,30,80
2017-05-07,31,80
2017-05-14,32,83
2017-05-21,31,82
2017-05-28,36,85
2017-06-04,32,81
2017-06-11,27,74
2017-06-18,21,78
2017-06-25,21,78
2017-07-02,24,80
2017-07-09,19,75
2017-07-16,22,78
2017-07-23,17,79
2017-07-30,19,75
2017-08-06,17,78
2017-08-13,17,74
2017-08-20,18,77
2017-08-27,19,83
2017-09-03,19,83
2017-09-10,19,80
2017-09-17,22,81
2017-09-24,23,84
2017-10-01,22,80
2017-10-08,24,82
2017-10-15,26,81
2017-10-22,24,88
2017-10-29,23,85
2017-11-05,25,89
2017-11-12,31,89
2017-11-19,25,92
2017-11-26,26,94
2017-12-03,23,96
2017-12-10,27,92
2017-12-17,21,85
2017-12-24,23,99
2017-12-31,28,100
