Category: All categories

Week,Mobile phone: (Portugal)
2018-01-07,79
2018-01-14,81
2018-01-21,77
2018-01-28,73
2018-02-04,74
2018-02-11,78
2018-02-18,75
2018-02-25,79
2018-03-04,77
2018-03-11,78
2018-03-18,77
2018-03-25,77
2018-04-01,76
2018-04-08,72
2018-04-15,71
2018-04-22,71
2018-04-29,70
2018-05-06,74
2018-05-13,68
2018-05-20,65
2018-05-27,71
2018-06-03,78
2018-06-10,74
2018-06-17,72
2018-06-24,76
2018-07-01,76
2018-07-08,82
2018-07-15,81
2018-07-22,82
2018-07-29,84
2018-08-05,83
2018-08-12,83
2018-08-19,79
2018-08-26,86
2018-09-02,83
2018-09-09,84
2018-09-16,82
2018-09-23,87
2018-09-30,83
2018-10-07,75
2018-10-14,82
2018-10-21,82
2018-10-28,81
2018-11-04,82
2018-11-11,81
2018-11-18,93
2018-11-25,85
2018-12-02,87
2018-12-09,88
2018-12-16,94
2018-12-23,100
2018-12-30,86
