Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2017-01-01,62,24
2017-01-08,86,25
2017-01-15,94,30
2017-01-22,82,28
2017-01-29,79,23
2017-02-05,81,21
2017-02-12,78,18
2017-02-19,81,20
2017-02-26,78,20
2017-03-05,86,21
2017-03-12,87,24
2017-03-19,80,22
2017-03-26,89,17
2017-04-02,67,17
2017-04-09,66,14
2017-04-16,67,15
2017-04-23,77,19
2017-04-30,84,14
2017-05-07,87,18
2017-05-14,86,19
2017-05-21,86,15
2017-05-28,100,19
2017-06-04,91,16
2017-06-11,79,14
2017-06-18,58,16
2017-06-25,60,17
2017-07-02,65,21
2017-07-09,58,13
2017-07-16,62,15
2017-07-23,51,13
2017-07-30,53,19
2017-08-06,48,17
2017-08-13,46,11
2017-08-20,52,16
2017-08-27,53,16
2017-09-03,52,16
2017-09-10,55,16
2017-09-17,61,19
2017-09-24,62,18
2017-10-01,60,18
2017-10-08,69,16
2017-10-15,73,20
2017-10-22,67,22
2017-10-29,66,18
2017-11-05,70,22
2017-11-12,87,25
2017-11-19,67,19
2017-11-26,74,30
2017-12-03,70,42
2017-12-10,75,34
2017-12-17,57,23
2017-12-24,67,25
2017-12-31,78,29
