Category: All categories

Week,Energy: (Portugal),Juice: (Portugal)
2016-01-03,95,17
2016-01-10,82,14
2016-01-17,88,15
2016-01-24,83,17
2016-01-31,79,10
2016-02-07,67,15
2016-02-14,81,15
2016-02-21,86,15
2016-02-28,92,14
2016-03-06,85,16
2016-03-13,79,14
2016-03-20,66,13
2016-03-27,69,13
2016-04-03,80,20
2016-04-10,89,17
2016-04-17,87,17
2016-04-24,88,21
2016-05-01,91,17
2016-05-08,97,20
2016-05-15,100,16
2016-05-22,95,11
2016-05-29,98,14
2016-06-05,77,20
2016-06-12,83,17
2016-06-19,57,22
2016-06-26,62,17
2016-07-03,59,16
2016-07-10,56,16
2016-07-17,60,23
2016-07-24,60,18
2016-07-31,50,18
2016-08-07,45,17
2016-08-14,45,15
2016-08-21,54,20
2016-08-28,64,16
2016-09-04,59,17
2016-09-11,60,10
2016-09-18,70,11
2016-09-25,75,18
2016-10-02,75,13
2016-10-09,74,10
2016-10-16,73,14
2016-10-23,77,13
2016-10-30,71,15
2016-11-06,88,10
2016-11-13,83,15
2016-11-20,79,11
2016-11-27,77,12
2016-12-04,69,19
2016-12-11,63,11
2016-12-18,51,12
2016-12-25,58,21
