Category: All categories

Week,Automotive industry: (Portugal)
2008-01-06,0
2008-01-13,16
2008-01-20,72
2008-01-27,0
2008-02-03,38
2008-02-10,18
2008-02-17,0
2008-02-24,0
2008-03-02,16
2008-03-09,0
2008-03-16,24
2008-03-23,33
2008-03-30,29
2008-04-06,18
2008-04-13,0
2008-04-20,0
2008-04-27,37
2008-05-04,29
2008-05-11,0
2008-05-18,0
2008-05-25,31
2008-06-01,65
2008-06-08,0
2008-06-15,0
2008-06-22,0
2008-06-29,0
2008-07-06,0
2008-07-13,0
2008-07-20,100
2008-07-27,30
2008-08-03,0
2008-08-10,0
2008-08-17,52
2008-08-24,0
2008-08-31,0
2008-09-07,45
2008-09-14,44
2008-09-21,36
2008-09-28,32
2008-10-05,16
2008-10-12,0
2008-10-19,44
2008-10-26,25
2008-11-02,45
2008-11-09,45
2008-11-16,40
2008-11-23,69
2008-11-30,21
2008-12-07,33
2008-12-14,38
2008-12-21,37
2008-12-28,0
2009-01-04,17
2009-01-11,18
2009-01-18,16
2009-01-25,24
2009-02-01,35
2009-02-08,17
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,37
2009-03-22,18
2009-03-29,14
2009-04-05,50
2009-04-12,33
2009-04-19,43
2009-04-26,42
2009-05-03,0
2009-05-10,39
2009-05-17,17
2009-05-24,0
2009-05-31,26
2009-06-07,0
2009-06-14,25
2009-06-21,0
2009-06-28,0
2009-07-05,25
2009-07-12,37
2009-07-19,51
2009-07-26,17
2009-08-02,31
2009-08-09,22
2009-08-16,0
2009-08-23,0
2009-08-30,16
2009-09-06,42
2009-09-13,24
2009-09-20,33
2009-09-27,0
2009-10-04,36
2009-10-11,12
2009-10-18,30
2009-10-25,24
2009-11-01,20
2009-11-08,22
2009-11-15,0
2009-11-22,45
2009-11-29,26
2009-12-06,24
2009-12-13,26
2009-12-20,0
2009-12-27,0
